
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240411 10:12:03	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712830323	002000000	4.8627	-417.40	228
DATA	0000001	1712830323	004000000	0.0000	-417.40	204
DATA	0000002	1712830323	006000000	0.0000	-417.40	207
DATA	0000003	1712830323	008000000	4.9431	-417.40	231
DATA	0000004	1712830323	010000000	11.012	-417.40	209
DATA	0000005	1712830323	012000000	15.313	-417.40	220
DATA	0000006	1712830323	014000000	17.081	-417.40	227
DATA	0000007	1712830323	016000000	11.816	-417.40	230
DATA	0000008	1712830323	018000000	6.3498	-417.40	246
DATA	0000009	1712830323	020000000	1.5268	-417.40	232
DATA	0000010	1712830323	022000000	0.0000	-417.40	204
DATA	0000011	1712830323	024000000	2.5718	-417.40	230
DATA	0000012	1712830323	026000000	9.3642	-417.40	234
DATA	0000013	1712830323	028000000	13.906	-417.40	232
DATA	0000014	1712830323	030000000	17.282	-417.40	227
DATA	0000015	1712830323	032000000	13.986	-417.40	237
DATA	0000016	1712830323	034000000	7.9575	-417.40	246
DATA	0000017	1712830323	036000000	3.3354	-417.40	234
DATA	0000018	1712830323	038000000	0.0000	-417.40	219
DATA	0000019	1712830323	040000000	0.16027	-417.40	 21
DATA	0000020	1712830323	042000000	7.2742	-417.40	229
DATA	0000021	1712830323	044000000	12.419	-417.40	227
DATA	0000022	1712830323	046000000	16.639	-417.40	238
DATA	0000023	1712830323	048000000	15.916	-417.40	238
DATA	0000024	1712830323	050000000	9.7260	-417.40	234
DATA	0000025	1712830323	052000000	4.9431	-417.40	234
DATA	0000026	1712830323	054000000	0.0000	-417.40	216
DATA	0000027	1712830323	056000000	0.0000	-417.40	219
DATA	0000028	1712830323	058000000	4.9833	-417.40	249
DATA	0000029	1712830323	060000000	10.892	-417.40	236
DATA	0000030	1712830323	062000000	15.272	-417.40	227
DATA	0000031	1712830323	064000000	17.081	-417.40	230
DATA	0000032	1712830323	066000000	11.977	-417.40	241
DATA	0000033	1712830323	068000000	6.4704	-417.40	240
DATA	0000034	1712830323	070000000	1.6474	-417.40	235
DATA	0000035	1712830323	072000000	0.0000	-417.40	216
DATA	0000036	1712830323	074000000	2.3306	-417.40	233
DATA	0000037	1712830323	076000000	9.2437	-417.40	247
DATA	0000038	1712830323	078000000	13.906	-417.40	244
DATA	0000039	1712830323	080000000	17.322	-417.40	234
DATA	0000040	1712830323	082000000	14.147	-417.40	230
DATA	0000041	1712830323	084000000	8.0379	-417.40	243
DATA	0000042	1712830323	086000000	3.4158	-417.40	240
DATA	0000043	1712830323	088000000	0.0000	-417.40	222
DATA	0000044	1712830323	090000000	0.24065	-417.40	 25
DATA	0000045	1712830323	092000000	7.1939	-417.40	248
DATA	0000046	1712830323	094000000	12.298	-417.40	244
DATA	0000047	1712830323	096000000	16.679	-417.40	254
DATA	0000048	1712830323	098000000	16.076	-417.40	248
DATA	0000049	1712830323	100000000	10.007	-417.40	221
DATA	0000050	1712830323	102000000	5.1039	-417.40	225
DATA	0000051	1712830323	104000000	0.0000	-417.40	210
DATA	0000052	1712830323	106000000	0.0000	-417.40	213
DATA	0000053	1712830323	108000000	4.8627	-417.40	243
DATA	0000054	1712830323	110000000	10.892	-417.40	230
DATA	0000055	1712830323	112000000	15.272	-417.40	230
DATA	0000056	1712830323	114000000	17.242	-417.40	232
DATA	0000057	1712830323	116000000	12.137	-417.40	233
DATA	0000058	1712830323	118000000	6.5508	-417.40	246
DATA	0000059	1712830323	120000000	1.6474	-417.40	238
DATA	0000060	1712830323	122000000	0.0000	-417.40	210
DATA	0000061	1712830323	124000000	2.3708	-417.40	233
DATA	0000062	1712830323	126000000	9.1633	-417.40	238
DATA	0000063	1712830323	128000000	13.785	-417.40	243
DATA	0000064	1712830323	130000000	17.282	-417.40	233
DATA	0000065	1712830323	132000000	14.227	-417.40	232
DATA	0000066	1712830323	134000000	8.2389	-417.40	249
DATA	0000067	1712830323	136000000	3.5364	-417.40	243
DATA	0000068	1712830323	138000000	0.0000	-417.40	225
DATA	0000069	1712830323	140000000	0.0000	-417.40	219
DATA	0000070	1712830323	142000000	7.0733	-417.40	233
DATA	0000071	1712830323	144000000	12.338	-417.40	233
DATA	0000072	1712830323	146000000	16.639	-417.40	244
DATA	0000073	1712830323	148000000	16.237	-417.40	241
DATA	0000074	1712830323	150000000	10.168	-417.40	232
DATA	0000075	1712830323	152000000	5.1843	-417.40	240
DATA	0000076	1712830323	154000000	0.0000	-417.40	222
DATA	0000077	1712830323	156000000	0.0000	-417.40	225
DATA	0000078	1712830323	158000000	4.7422	-417.40	247
DATA	0000079	1712830323	160000000	10.731	-417.40	234
DATA	0000080	1712830323	162000000	15.031	-417.40	226
DATA	0000081	1712830323	164000000	17.081	-417.40	236
DATA	0000082	1712830323	166000000	12.178	-417.40	241
DATA	0000083	1712830323	168000000	6.7116	-417.40	246
DATA	0000084	1712830323	170000000	1.8483	-417.40	243
DATA	0000085	1712830323	172000000	0.0000	-417.40	222
DATA	0000086	1712830323	174000000	2.2904	-417.40	242
DATA	0000087	1712830323	176000000	9.0829	-417.40	  0
DATA	0000088	1712830323	178000000	13.705	-417.40	247
DATA	0000089	1712830323	180000000	17.322	-417.40	240
DATA	0000090	1712830323	182000000	14.388	-417.40	243
DATA	0000091	1712830323	184000000	8.1987	-417.40	255
DATA	0000092	1712830323	186000000	3.5364	-417.40	246
DATA	0000093	1712830323	188000000	0.0000	-417.40	228
DATA	0000094	1712830323	190000000	0.0000	-417.40	222
DATA	0000095	1712830323	192000000	6.9125	-417.40	248
DATA	0000096	1712830323	194000000	12.057	-417.40	243
DATA	0000097	1712830323	196000000	16.518	-417.40	252
DATA	0000098	1712830323	198000000	16.317	-417.40	252
DATA	0000099	1712830323	200000000	10.208	-417.40	230
DATA	0000100	1712830323	202000000	5.1843	-417.40	225
DATA	0000101	1712830323	204000000	0.0000	-417.40	207
DATA	0000102	1712830323	206000000	0.0000	-417.40	210
DATA	0000103	1712830323	208000000	4.7020	-417.40	226
DATA	0000104	1712830323	210000000	10.650	-417.40	219
DATA	0000105	1712830323	212000000	15.071	-417.40	224
DATA	0000106	1712830323	214000000	17.242	-417.40	229
DATA	0000107	1712830323	216000000	12.298	-417.40	238
DATA	0000108	1712830323	218000000	6.8321	-417.40	239
DATA	0000109	1712830323	220000000	1.9689	-417.40	246
DATA	0000110	1712830323	222000000	0.0000	-417.40	207
DATA	0000111	1712830323	224000000	2.0895	-417.40	234
DATA	0000112	1712830323	226000000	8.8819	-417.40	247
DATA	0000113	1712830323	228000000	13.544	-417.40	233
DATA	0000114	1712830323	230000000	17.282	-417.40	230
DATA	0000115	1712830323	232000000	14.509	-417.40	232
DATA	0000116	1712830323	234000000	8.3996	-417.40	251
DATA	0000117	1712830323	236000000	3.6168	-417.40	243
DATA	0000118	1712830323	238000000	0.0000	-417.40	222
DATA	0000119	1712830323	240000000	0.0000	-417.40	216
DATA	0000120	1712830323	242000000	6.8723	-417.40	236
DATA	0000121	1712830323	244000000	12.178	-417.40	232
DATA	0000122	1712830323	246000000	16.438	-417.40	238
DATA	0000123	1712830323	248000000	16.317	-417.40	237
DATA	0000124	1712830323	250000000	10.208	-417.40	224
DATA	0000125	1712830323	252000000	5.1441	-417.40	231
DATA	0000126	1712830323	254000000	0.039692	-417.40	 88
DATA	0000127	1712830323	256000000	0.0000	-417.40	222
DATA	0000128	1712830323	258000000	4.5010	-417.40	235
DATA	0000129	1712830323	260000000	10.691	-417.40	236
DATA	0000130	1712830323	262000000	15.112	-417.40	223
DATA	0000131	1712830323	264000000	17.282	-417.40	236
DATA	0000132	1712830323	266000000	12.298	-417.40	241
DATA	0000133	1712830323	268000000	6.7518	-417.40	249
DATA	0000134	1712830323	270000000	2.0091	-417.40	228
DATA	0000135	1712830323	272000000	0.0000	-417.40	219
DATA	0000136	1712830323	274000000	2.0895	-417.40	246
DATA	0000137	1712830323	276000000	9.0025	-417.40	241
DATA	0000138	1712830323	278000000	13.544	-417.40	245
DATA	0000139	1712830323	280000000	17.282	-417.40	242
DATA	0000140	1712830323	282000000	14.589	-417.40	243
DATA	0000141	1712830323	284000000	8.4800	-417.40	239
DATA	0000142	1712830323	286000000	3.8177	-417.40	248
DATA	0000143	1712830323	288000000	0.0000	-417.40	225
DATA	0000144	1712830323	290000000	0.0000	-417.40	219
DATA	0000145	1712830323	292000000	6.5508	-417.40	246
DATA	0000146	1712830323	294000000	11.736	-417.40	243
DATA	0000147	1712830323	296000000	16.237	-417.40	247
DATA	0000148	1712830323	298000000	16.317	-417.40	249
DATA	0000149	1712830323	300000000	10.248	-417.40	231
DATA	0000150	1712830323	302000000	5.3048	-417.40	230
DATA	0000151	1712830323	304000000	0.16027	-417.40	 21
DATA	0000152	1712830323	306000000	0.0000	-417.40	216
DATA	0000153	1712830323	308000000	4.3804	-417.40	238
DATA	0000154	1712830323	310000000	10.449	-417.40	231
DATA	0000155	1712830323	312000000	14.911	-417.40	232
DATA	0000156	1712830323	314000000	17.282	-417.40	239
DATA	0000157	1712830323	316000000	12.539	-417.40	242
DATA	0000158	1712830323	318000000	6.8321	-417.40	245
DATA	0000159	1712830323	320000000	2.0091	-417.40	231
DATA	0000160	1712830323	322000000	0.0000	-417.40	213
DATA	0000161	1712830323	324000000	1.7679	-417.40	246
DATA	0000162	1712830323	326000000	8.6006	-417.40	239
DATA	0000163	1712830323	328000000	13.424	-417.40	236
DATA	0000164	1712830323	330000000	17.282	-417.40	236
DATA	0000165	1712830323	332000000	14.710	-417.40	232
DATA	0000166	1712830323	334000000	8.6408	-417.40	248
DATA	0000167	1712830323	336000000	3.8981	-417.40	254
DATA	0000168	1712830323	338000000	0.0000	-417.40	228
DATA	0000169	1712830323	340000000	0.0000	-417.40	222
DATA	0000170	1712830323	342000000	6.5508	-417.40	240
DATA	0000171	1712830323	344000000	11.776	-417.40	241
DATA	0000172	1712830323	346000000	16.237	-417.40	241
DATA	0000173	1712830323	348000000	16.478	-417.40	251
DATA	0000174	1712830323	350000000	10.570	-417.40	232
DATA	0000175	1712830323	352000000	5.5058	-417.40	245
DATA	0000176	1712830323	354000000	0.28084	-417.40	 39
DATA	0000177	1712830323	356000000	0.0000	-417.40	228
DATA	0000178	1712830323	358000000	4.3000	-417.40	238
DATA	0000179	1712830323	360000000	10.369	-417.40	244
DATA	0000180	1712830323	362000000	14.830	-417.40	235
DATA	0000181	1712830323	364000000	17.403	-417.40	237
DATA	0000182	1712830323	366000000	12.700	-417.40	235
DATA	0000183	1712830323	368000000	7.0733	-417.40	248
DATA	0000184	1712830323	370000000	2.2904	-417.40	239
DATA	0000185	1712830323	372000000	0.0000	-417.40	225
DATA	0000186	1712830323	374000000	1.6876	-417.40	  0
DATA	0000187	1712830323	376000000	8.5604	-417.40	254
DATA	0000188	1712830323	378000000	13.223	-417.40	245
DATA	0000189	1712830323	380000000	17.242	-417.40	244
DATA	0000190	1712830323	382000000	14.790	-417.40	243
DATA	0000191	1712830323	384000000	8.7212	-417.40	245
DATA	0000192	1712830323	386000000	4.0991	-417.40	251
DATA	0000193	1712830323	388000000	0.0000	-417.40	231
DATA	0000194	1712830323	390000000	0.0000	-417.40	225
DATA	0000195	1712830323	392000000	6.4704	-417.40	249
DATA	0000196	1712830323	394000000	11.816	-417.40	248
DATA	0000197	1712830323	396000000	16.116	-417.40	249
DATA	0000198	1712830323	398000000	16.398	-417.40	  8
DATA	0000199	1712830323	400000000	10.610	-417.40	230
DATA	0000200	1712830323	402000000	5.5862	-417.40	233
DATA	0000201	1712830323	404000000	0.36123	-417.40	 17
DATA	0000202	1712830323	406000000	0.0000	-417.40	213
DATA	0000203	1712830323	408000000	4.1795	-417.40	242
DATA	0000204	1712830323	410000000	10.369	-417.40	229
DATA	0000205	1712830323	412000000	14.710	-417.40	226
DATA	0000206	1712830323	414000000	17.362	-417.40	235
DATA	0000207	1712830323	416000000	12.821	-417.40	233
DATA	0000208	1712830323	418000000	7.1135	-417.40	239
DATA	0000209	1712830323	420000000	2.3306	-417.40	230
DATA	0000210	1712830323	422000000	0.0000	-417.40	210
DATA	0000211	1712830323	424000000	1.6072	-417.40	229
DATA	0000212	1712830323	426000000	8.4800	-417.40	236
DATA	0000213	1712830323	428000000	13.182	-417.40	234
DATA	0000214	1712830323	430000000	17.322	-417.40	228
DATA	0000215	1712830323	432000000	14.991	-417.40	240
DATA	0000216	1712830323	434000000	8.7613	-417.40	244
DATA	0000217	1712830323	436000000	4.0187	-417.40	242
DATA	0000218	1712830323	438000000	0.0000	-417.40	225
DATA	0000219	1712830323	440000000	0.0000	-417.40	219
DATA	0000220	1712830323	442000000	6.3900	-417.40	231
DATA	0000221	1712830323	444000000	11.736	-417.40	234
DATA	0000222	1712830323	446000000	16.237	-417.40	238
DATA	0000223	1712830323	448000000	16.599	-417.40	252
DATA	0000224	1712830323	450000000	10.691	-417.40	233
DATA	0000225	1712830323	452000000	5.6666	-417.40	248
DATA	0000226	1712830323	454000000	0.36123	-417.40	 29
DATA	0000227	1712830323	456000000	0.0000	-417.40	225
DATA	0000228	1712830323	458000000	3.9785	-417.40	  4
DATA	0000229	1712830323	460000000	10.248	-417.40	237
DATA	0000230	1712830323	462000000	14.629	-417.40	238
DATA	0000231	1712830323	464000000	17.403	-417.40	234
DATA	0000232	1712830323	466000000	12.740	-417.40	236
DATA	0000233	1712830323	468000000	6.9929	-417.40	  4
DATA	0000234	1712830323	470000000	2.2904	-417.40	236
DATA	0000235	1712830323	472000000	0.0000	-417.40	222
DATA	0000236	1712830323	474000000	1.5268	-417.40	247
DATA	0000237	1712830323	476000000	8.4398	-417.40	  4
DATA	0000238	1712830323	478000000	13.062	-417.40	243
DATA	0000239	1712830323	480000000	17.161	-417.40	241
DATA	0000240	1712830323	482000000	14.991	-417.40	243
DATA	0000241	1712830323	484000000	8.8015	-417.40	244
DATA	0000242	1712830323	486000000	4.0589	-417.40	251
DATA	0000243	1712830323	488000000	0.0000	-417.40	228
DATA	0000244	1712830323	490000000	0.0000	-417.40	222
DATA	0000245	1712830323	492000000	6.4704	-417.40	246
DATA	0000246	1712830323	494000000	11.736	-417.40	246
DATA	0000247	1712830323	496000000	16.116	-417.40	246
DATA	0000248	1712830323	498000000	16.599	-417.40	  8
DATA	0000249	1712830323	500000000	10.650	-417.40	231
