
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240411 09:44:21	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712828661	002000000	9.2035	-417.40	232
DATA	0000001	1712828661	004000000	13.705	-417.40	232
DATA	0000002	1712828661	006000000	16.961	-417.40	242
DATA	0000003	1712828661	008000000	13.223	-417.40	233
DATA	0000004	1712828661	010000000	7.1939	-417.40	245
DATA	0000005	1712828661	012000000	2.4512	-417.40	233
DATA	0000006	1712828661	014000000	0.0000	-417.40	222
DATA	0000007	1712828661	016000000	0.16027	-417.40	 33
DATA	0000008	1712828661	018000000	7.3546	-417.40	253
DATA	0000009	1712828661	020000000	12.178	-417.40	241
DATA	0000010	1712828661	022000000	16.478	-417.40	242
DATA	0000011	1712828661	024000000	15.232	-417.40	232
DATA	0000012	1712828661	026000000	8.9221	-417.40	244
DATA	0000013	1712828661	028000000	4.0991	-417.40	248
DATA	0000014	1712828661	030000000	0.0000	-417.40	219
DATA	0000015	1712828661	032000000	0.0000	-417.40	222
DATA	0000016	1712828661	034000000	4.9833	-417.40	252
DATA	0000017	1712828661	036000000	10.650	-417.40	240
DATA	0000018	1712828661	038000000	15.071	-417.40	245
DATA	0000019	1712828661	040000000	16.679	-417.40	254
DATA	0000020	1712828661	042000000	11.052	-417.40	228
DATA	0000021	1712828661	044000000	5.7068	-417.40	248
DATA	0000022	1712828661	046000000	0.68276	-417.40	 46
DATA	0000023	1712828661	048000000	0.0000	-417.40	228
DATA	0000024	1712828661	050000000	2.4110	-417.40	230
DATA	0000025	1712828661	052000000	9.0025	-417.40	241
DATA	0000026	1712828661	054000000	13.544	-417.40	245
DATA	0000027	1712828661	056000000	17.081	-417.40	248
DATA	0000028	1712828661	058000000	13.223	-417.40	245
DATA	0000029	1712828661	060000000	7.1537	-417.40	251
DATA	0000030	1712828661	062000000	2.5718	-417.40	245
DATA	0000031	1712828661	064000000	0.0000	-417.40	225
DATA	0000032	1712828661	066000000	0.079884	-417.40	104
DATA	0000033	1712828661	068000000	7.1135	-417.40	248
DATA	0000034	1712828661	070000000	12.017	-417.40	236
DATA	0000035	1712828661	072000000	16.317	-417.40	246
DATA	0000036	1712828661	074000000	15.393	-417.40	252
DATA	0000037	1712828661	076000000	9.0025	-417.40	250
DATA	0000038	1712828661	078000000	4.2598	-417.40	  9
DATA	0000039	1712828661	080000000	0.0000	-417.40	231
DATA	0000040	1712828661	082000000	0.0000	-417.40	225
DATA	0000041	1712828661	084000000	4.7020	-417.40	241
DATA	0000042	1712828661	086000000	10.329	-417.40	246
DATA	0000043	1712828661	088000000	14.750	-417.40	251
DATA	0000044	1712828661	090000000	16.599	-417.40	  2
DATA	0000045	1712828661	092000000	11.213	-417.40	239
DATA	0000046	1712828661	094000000	5.7470	-417.40	  1
DATA	0000047	1712828661	096000000	0.80334	-417.40	 47
DATA	0000048	1712828661	098000000	0.0000	-417.40	240
DATA	0000049	1712828661	100000000	2.1699	-417.40	252
DATA	0000050	1712828661	102000000	8.8015	-417.40	241
DATA	0000051	1712828661	104000000	13.343	-417.40	236
DATA	0000052	1712828661	106000000	16.961	-417.40	248
DATA	0000053	1712828661	108000000	13.424	-417.40	242
DATA	0000054	1712828661	110000000	7.3948	-417.40	253
DATA	0000055	1712828661	112000000	2.7326	-417.40	245
DATA	0000056	1712828661	114000000	0.0000	-417.40	228
DATA	0000057	1712828661	116000000	0.0000	-417.40	231
DATA	0000058	1712828661	118000000	6.9125	-417.40	  1
DATA	0000059	1712828661	120000000	11.896	-417.40	253
DATA	0000060	1712828661	122000000	16.277	-417.40	245
DATA	0000061	1712828661	124000000	15.594	-417.40	249
DATA	0000062	1712828661	126000000	9.2838	-417.40	  2
DATA	0000063	1712828661	128000000	4.5010	-417.40	241
DATA	0000064	1712828661	130000000	0.0000	-417.40	225
DATA	0000065	1712828661	132000000	0.0000	-417.40	228
DATA	0000066	1712828661	134000000	4.4608	-417.40	253
DATA	0000067	1712828661	136000000	10.248	-417.40	249
DATA	0000068	1712828661	138000000	14.790	-417.40	  2
DATA	0000069	1712828661	140000000	16.760	-417.40	251
DATA	0000070	1712828661	142000000	11.414	-417.40	236
DATA	0000071	1712828661	144000000	5.9881	-417.40	  3
DATA	0000072	1712828661	146000000	1.0847	-417.40	251
DATA	0000073	1712828661	148000000	0.0000	-417.40	234
DATA	0000074	1712828661	150000000	1.9689	-417.40	  5
DATA	0000075	1712828661	152000000	8.4398	-417.40	  7
DATA	0000076	1712828661	154000000	13.102	-417.40	241
DATA	0000077	1712828661	156000000	17.001	-417.40	246
DATA	0000078	1712828661	158000000	13.745	-417.40	  4
DATA	0000079	1712828661	160000000	7.5958	-417.40	 12
DATA	0000080	1712828661	162000000	2.8933	-417.40	253
DATA	0000081	1712828661	164000000	0.0000	-417.40	231
DATA	0000082	1712828661	166000000	0.0000	-417.40	234
DATA	0000083	1712828661	168000000	6.6714	-417.40	  5
DATA	0000084	1712828661	170000000	11.695	-417.40	253
DATA	0000085	1712828661	172000000	16.036	-417.40	250
DATA	0000086	1712828661	174000000	15.715	-417.40	  0
DATA	0000087	1712828661	176000000	9.5250	-417.40	  5
DATA	0000088	1712828661	178000000	4.6216	-417.40	  6
DATA	0000089	1712828661	180000000	0.0000	-417.40	237
DATA	0000090	1712828661	182000000	0.0000	-417.40	231
DATA	0000091	1712828661	184000000	4.4206	-417.40	250
DATA	0000092	1712828661	186000000	10.208	-417.40	248
DATA	0000093	1712828661	188000000	14.670	-417.40	  2
DATA	0000094	1712828661	190000000	16.840	-417.40	253
DATA	0000095	1712828661	192000000	11.695	-417.40	  3
DATA	0000096	1712828661	194000000	6.2293	-417.40	  6
DATA	0000097	1712828661	196000000	1.2053	-417.40	254
DATA	0000098	1712828661	198000000	0.0000	-417.40	246
DATA	0000099	1712828661	200000000	1.7679	-417.40	  5
DATA	0000100	1712828661	202000000	8.4398	-417.40	248
DATA	0000101	1712828661	204000000	12.941	-417.40	236
DATA	0000102	1712828661	206000000	16.719	-417.40	246
DATA	0000103	1712828661	208000000	13.866	-417.40	249
DATA	0000104	1712828661	210000000	7.7967	-417.40	255
DATA	0000105	1712828661	212000000	3.1747	-417.40	244
DATA	0000106	1712828661	214000000	0.0000	-417.40	225
DATA	0000107	1712828661	216000000	0.0000	-417.40	228
DATA	0000108	1712828661	218000000	6.3498	-417.40	  5
DATA	0000109	1712828661	220000000	11.535	-417.40	240
DATA	0000110	1712828661	222000000	16.036	-417.40	235
DATA	0000111	1712828661	224000000	15.755	-417.40	245
DATA	0000112	1712828661	226000000	9.6858	-417.40	  5
DATA	0000113	1712828661	228000000	4.7823	-417.40	252
DATA	0000114	1712828661	230000000	0.0000	-417.40	222
DATA	0000115	1712828661	232000000	0.0000	-417.40	225
DATA	0000116	1712828661	234000000	4.0589	-417.40	254
DATA	0000117	1712828661	236000000	10.047	-417.40	243
DATA	0000118	1712828661	238000000	14.469	-417.40	  2
DATA	0000119	1712828661	240000000	16.961	-417.40	251
DATA	0000120	1712828661	242000000	11.736	-417.40	240
DATA	0000121	1712828661	244000000	6.2293	-417.40	247
DATA	0000122	1712828661	246000000	1.3660	-417.40	244
DATA	0000123	1712828661	248000000	0.0000	-417.40	231
DATA	0000124	1712828661	250000000	1.4866	-417.40	250
DATA	0000125	1712828661	252000000	8.3996	-417.40	  7
DATA	0000126	1712828661	254000000	13.062	-417.40	243
DATA	0000127	1712828661	256000000	16.880	-417.40	  1
DATA	0000128	1712828661	258000000	14.067	-417.40	255
DATA	0000129	1712828661	260000000	7.9173	-417.40	  2
DATA	0000130	1712828661	262000000	3.3756	-417.40	249
DATA	0000131	1712828661	264000000	0.0000	-417.40	228
DATA	0000132	1712828661	266000000	0.0000	-417.40	231
DATA	0000133	1712828661	268000000	6.2694	-417.40	  5
DATA	0000134	1712828661	270000000	11.414	-417.40	239
DATA	0000135	1712828661	272000000	15.835	-417.40	253
DATA	0000136	1712828661	274000000	15.916	-417.40	  0
DATA	0000137	1712828661	276000000	9.8063	-417.40	  7
DATA	0000138	1712828661	278000000	4.9431	-417.40	  5
DATA	0000139	1712828661	280000000	0.0000	-417.40	234
DATA	0000140	1712828661	282000000	0.0000	-417.40	228
DATA	0000141	1712828661	284000000	3.6972	-417.40	  2
DATA	0000142	1712828661	286000000	9.8063	-417.40	  4
DATA	0000143	1712828661	288000000	14.348	-417.40	  1
DATA	0000144	1712828661	290000000	17.001	-417.40	240
DATA	0000145	1712828661	292000000	12.137	-417.40	248
DATA	0000146	1712828661	294000000	6.4704	-417.40	  2
DATA	0000147	1712828661	296000000	1.7278	-417.40	  9
DATA	0000148	1712828661	298000000	0.0000	-417.40	243
DATA	0000149	1712828661	300000000	1.3660	-417.40	244
DATA	0000150	1712828661	302000000	8.1585	-417.40	249
DATA	0000151	1712828661	304000000	12.781	-417.40	244
DATA	0000152	1712828661	306000000	16.760	-417.40	248
DATA	0000153	1712828661	308000000	14.227	-417.40	247
DATA	0000154	1712828661	310000000	8.0379	-417.40	252
DATA	0000155	1712828661	312000000	3.4962	-417.40	252
DATA	0000156	1712828661	314000000	0.0000	-417.40	231
DATA	0000157	1712828661	316000000	0.0000	-417.40	234
DATA	0000158	1712828661	318000000	6.0685	-417.40	  6
DATA	0000159	1712828661	320000000	11.133	-417.40	240
DATA	0000160	1712828661	322000000	15.674	-417.40	248
DATA	0000161	1712828661	324000000	16.157	-417.40	248
DATA	0000162	1712828661	326000000	10.007	-417.40	239
DATA	0000163	1712828661	328000000	5.0637	-417.40	255
DATA	0000164	1712828661	330000000	0.0000	-417.40	228
DATA	0000165	1712828661	332000000	0.0000	-417.40	231
DATA	0000166	1712828661	334000000	3.5766	-417.40	  5
DATA	0000167	1712828661	336000000	9.7260	-417.40	  5
DATA	0000168	1712828661	338000000	14.187	-417.40	  5
DATA	0000169	1712828661	340000000	17.001	-417.40	243
DATA	0000170	1712828661	342000000	12.419	-417.40	245
DATA	0000171	1712828661	344000000	6.6312	-417.40	249
DATA	0000172	1712828661	346000000	1.7278	-417.40	  3
DATA	0000173	1712828661	348000000	0.0000	-417.40	237
DATA	0000174	1712828661	350000000	1.0043	-417.40	239
DATA	0000175	1712828661	352000000	7.8771	-417.40	  8
DATA	0000176	1712828661	354000000	12.620	-417.40	248
DATA	0000177	1712828661	356000000	16.679	-417.40	 13
DATA	0000178	1712828661	358000000	14.549	-417.40	 10
DATA	0000179	1712828661	360000000	8.2790	-417.40	  7
DATA	0000180	1712828661	362000000	3.5364	-417.40	252
DATA	0000181	1712828661	364000000	0.0000	-417.40	234
DATA	0000182	1712828661	366000000	0.0000	-417.40	237
DATA	0000183	1712828661	368000000	5.7470	-417.40	  7
DATA	0000184	1712828661	370000000	11.133	-417.40	243
DATA	0000185	1712828661	372000000	15.554	-417.40	  1
DATA	0000186	1712828661	374000000	16.157	-417.40	  4
DATA	0000187	1712828661	376000000	10.289	-417.40	  7
DATA	0000188	1712828661	378000000	5.2646	-417.40	 13
DATA	0000189	1712828661	380000000	0.16027	-417.40	 48
DATA	0000190	1712828661	382000000	0.0000	-417.40	234
DATA	0000191	1712828661	384000000	3.2952	-417.40	  2
DATA	0000192	1712828661	386000000	9.5652	-417.40	 11
DATA	0000193	1712828661	388000000	14.067	-417.40	  5
DATA	0000194	1712828661	390000000	17.001	-417.40	246
DATA	0000195	1712828661	392000000	12.459	-417.40	  5
