
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240411 09:52:34	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712829154	002000000	5.2646	-417.40	234
DATA	0000001	1712829154	004000000	9.9269	-417.40	249
DATA	0000002	1712829154	006000000	13.866	-417.40	241
DATA	0000003	1712829154	008000000	11.092	-417.40	233
DATA	0000004	1712829154	010000000	4.9833	-417.40	241
DATA	0000005	1712829154	012000000	0.32104	-417.40	 19
DATA	0000006	1712829154	014000000	0.0000	-417.40	220
DATA	0000007	1712829154	016000000	0.0000	-417.40	223
DATA	0000008	1712829154	018000000	3.0943	-417.40	245
DATA	0000009	1712829154	020000000	8.3192	-417.40	243
DATA	0000010	1712829154	022000000	12.700	-417.40	224
DATA	0000011	1712829154	024000000	13.022	-417.40	225
DATA	0000012	1712829154	026000000	6.9125	-417.40	243
DATA	0000013	1712829154	028000000	1.7679	-417.40	253
DATA	0000014	1712829154	030000000	0.0000	-417.40	217
DATA	0000015	1712829154	032000000	0.0000	-417.40	220
DATA	0000016	1712829154	034000000	0.80334	-417.40	 33
DATA	0000017	1712829154	036000000	6.7919	-417.40	  2
DATA	0000018	1712829154	038000000	11.173	-417.40	242
DATA	0000019	1712829154	040000000	13.826	-417.40	243
DATA	0000020	1712829154	042000000	9.0025	-417.40	233
DATA	0000021	1712829154	044000000	3.3756	-417.40	244
DATA	0000022	1712829154	046000000	0.0000	-417.40	223
DATA	0000023	1712829154	048000000	0.0000	-417.40	226
DATA	0000024	1712829154	050000000	0.0000	-417.40	220
DATA	0000025	1712829154	052000000	5.0235	-417.40	238
DATA	0000026	1712829154	054000000	9.7260	-417.40	250
DATA	0000027	1712829154	056000000	13.826	-417.40	249
DATA	0000028	1712829154	058000000	11.334	-417.40	244
DATA	0000029	1712829154	060000000	4.9431	-417.40	247
DATA	0000030	1712829154	062000000	0.36123	-417.40	 27
DATA	0000031	1712829154	064000000	0.0000	-417.40	223
DATA	0000032	1712829154	066000000	0.0000	-417.40	226
DATA	0000033	1712829154	068000000	2.8933	-417.40	254
DATA	0000034	1712829154	070000000	8.1183	-417.40	244
DATA	0000035	1712829154	072000000	12.660	-417.40	241
DATA	0000036	1712829154	074000000	13.182	-417.40	244
DATA	0000037	1712829154	076000000	7.1135	-417.40	249
DATA	0000038	1712829154	078000000	1.9689	-417.40	 12
DATA	0000039	1712829154	080000000	0.0000	-417.40	229
DATA	0000040	1712829154	082000000	0.0000	-417.40	223
DATA	0000041	1712829154	084000000	0.40142	-417.40	 29
DATA	0000042	1712829154	086000000	6.5508	-417.40	253
DATA	0000043	1712829154	088000000	11.213	-417.40	240
DATA	0000044	1712829154	090000000	14.067	-417.40	244
DATA	0000045	1712829154	092000000	9.4044	-417.40	250
DATA	0000046	1712829154	094000000	3.5766	-417.40	  3
DATA	0000047	1712829154	096000000	0.0000	-417.40	235
DATA	0000048	1712829154	098000000	0.0000	-417.40	238
DATA	0000049	1712829154	100000000	0.0000	-417.40	223
DATA	0000050	1712829154	102000000	4.8627	-417.40	244
DATA	0000051	1712829154	104000000	9.5250	-417.40	241
DATA	0000052	1712829154	106000000	13.665	-417.40	244
DATA	0000053	1712829154	108000000	11.575	-417.40	245
DATA	0000054	1712829154	110000000	5.3450	-417.40	237
DATA	0000055	1712829154	112000000	0.60238	-417.40	 34
DATA	0000056	1712829154	114000000	0.0000	-417.40	226
DATA	0000057	1712829154	116000000	0.0000	-417.40	229
DATA	0000058	1712829154	118000000	2.6522	-417.40	249
DATA	0000059	1712829154	120000000	7.9173	-417.40	253
DATA	0000060	1712829154	122000000	12.459	-417.40	241
DATA	0000061	1712829154	124000000	13.263	-417.40	238
DATA	0000062	1712829154	126000000	7.2742	-417.40	248
DATA	0000063	1712829154	128000000	2.1699	-417.40	  0
DATA	0000064	1712829154	130000000	0.0000	-417.40	223
DATA	0000065	1712829154	132000000	0.0000	-417.40	226
DATA	0000066	1712829154	134000000	0.24065	-417.40	 38
DATA	0000067	1712829154	136000000	6.5106	-417.40	250
DATA	0000068	1712829154	138000000	11.012	-417.40	240
DATA	0000069	1712829154	140000000	14.067	-417.40	247
DATA	0000070	1712829154	142000000	9.5250	-417.40	244
DATA	0000071	1712829154	144000000	3.7374	-417.40	250
DATA	0000072	1712829154	146000000	0.0000	-417.40	229
DATA	0000073	1712829154	148000000	0.0000	-417.40	232
DATA	0000074	1712829154	150000000	0.0000	-417.40	226
DATA	0000075	1712829154	152000000	4.7422	-417.40	248
DATA	0000076	1712829154	154000000	9.5250	-417.40	253
DATA	0000077	1712829154	156000000	13.705	-417.40	251
DATA	0000078	1712829154	158000000	11.816	-417.40	255
DATA	0000079	1712829154	160000000	5.5058	-417.40	255
DATA	0000080	1712829154	162000000	0.88372	-417.40	 46
DATA	0000081	1712829154	164000000	0.0000	-417.40	229
DATA	0000082	1712829154	166000000	0.0000	-417.40	232
DATA	0000083	1712829154	168000000	2.3306	-417.40	249
DATA	0000084	1712829154	170000000	7.8369	-417.40	  6
DATA	0000085	1712829154	172000000	12.379	-417.40	254
DATA	0000086	1712829154	174000000	13.343	-417.40	249
DATA	0000087	1712829154	176000000	7.4752	-417.40	  7
DATA	0000088	1712829154	178000000	2.3708	-417.40	  5
DATA	0000089	1712829154	180000000	0.0000	-417.40	235
DATA	0000090	1712829154	182000000	0.0000	-417.40	229
DATA	0000091	1712829154	184000000	0.0000	-417.40	232
DATA	0000092	1712829154	186000000	6.1087	-417.40	  1
DATA	0000093	1712829154	188000000	10.731	-417.40	250
DATA	0000094	1712829154	190000000	14.026	-417.40	245
DATA	0000095	1712829154	192000000	9.8465	-417.40	 11
DATA	0000096	1712829154	194000000	3.8177	-417.40	  8
DATA	0000097	1712829154	196000000	0.0000	-417.40	241
DATA	0000098	1712829154	198000000	0.0000	-417.40	244
DATA	0000099	1712829154	200000000	0.0000	-417.40	229
DATA	0000100	1712829154	202000000	4.4206	-417.40	230
DATA	0000101	1712829154	204000000	9.2437	-417.40	242
DATA	0000102	1712829154	206000000	13.464	-417.40	238
DATA	0000103	1712829154	208000000	11.856	-417.40	244
DATA	0000104	1712829154	210000000	5.5862	-417.40	243
DATA	0000105	1712829154	212000000	0.84353	-417.40	 35
DATA	0000106	1712829154	214000000	0.0000	-417.40	223
DATA	0000107	1712829154	216000000	0.0000	-417.40	226
DATA	0000108	1712829154	218000000	2.1297	-417.40	250
DATA	0000109	1712829154	220000000	7.7565	-417.40	253
DATA	0000110	1712829154	222000000	12.298	-417.40	239
DATA	0000111	1712829154	224000000	13.504	-417.40	233
DATA	0000112	1712829154	226000000	7.7967	-417.40	  3
DATA	0000113	1712829154	228000000	2.5718	-417.40	249
DATA	0000114	1712829154	230000000	0.0000	-417.40	220
DATA	0000115	1712829154	232000000	0.0000	-417.40	223
DATA	0000116	1712829154	234000000	0.0000	-417.40	226
DATA	0000117	1712829154	236000000	6.1489	-417.40	  1
DATA	0000118	1712829154	238000000	10.691	-417.40	249
DATA	0000119	1712829154	240000000	14.026	-417.40	239
DATA	0000120	1712829154	242000000	10.128	-417.40	232
DATA	0000121	1712829154	244000000	4.0991	-417.40	246
DATA	0000122	1712829154	246000000	0.0000	-417.40	226
DATA	0000123	1712829154	248000000	0.0000	-417.40	229
DATA	0000124	1712829154	250000000	0.0000	-417.40	223
DATA	0000125	1712829154	252000000	4.1795	-417.40	252
DATA	0000126	1712829154	254000000	9.0427	-417.40	251
DATA	0000127	1712829154	256000000	13.424	-417.40	246
DATA	0000128	1712829154	258000000	12.137	-417.40	249
DATA	0000129	1712829154	260000000	5.8675	-417.40	  4
DATA	0000130	1712829154	262000000	1.1249	-417.40	240
DATA	0000131	1712829154	264000000	0.0000	-417.40	226
DATA	0000132	1712829154	266000000	0.0000	-417.40	229
DATA	0000133	1712829154	268000000	1.8483	-417.40	  0
DATA	0000134	1712829154	270000000	7.5556	-417.40	254
DATA	0000135	1712829154	272000000	11.937	-417.40	250
DATA	0000136	1712829154	274000000	13.303	-417.40	242
DATA	0000137	1712829154	276000000	7.9173	-417.40	  6
DATA	0000138	1712829154	278000000	2.6120	-417.40	249
DATA	0000139	1712829154	280000000	0.0000	-417.40	232
DATA	0000140	1712829154	282000000	0.0000	-417.40	226
DATA	0000141	1712829154	284000000	0.0000	-417.40	229
DATA	0000142	1712829154	286000000	5.8675	-417.40	  7
DATA	0000143	1712829154	288000000	10.409	-417.40	249
DATA	0000144	1712829154	290000000	13.906	-417.40	248
DATA	0000145	1712829154	292000000	10.208	-417.40	243
DATA	0000146	1712829154	294000000	4.1393	-417.40	255
DATA	0000147	1712829154	296000000	0.0000	-417.40	238
DATA	0000148	1712829154	298000000	0.0000	-417.40	241
DATA	0000149	1712829154	300000000	0.0000	-417.40	226
DATA	0000150	1712829154	302000000	3.9785	-417.40	252
DATA	0000151	1712829154	304000000	8.8819	-417.40	  1
DATA	0000152	1712829154	306000000	13.303	-417.40	236
DATA	0000153	1712829154	308000000	12.258	-417.40	247
DATA	0000154	1712829154	310000000	6.0685	-417.40	248
DATA	0000155	1712829154	312000000	1.2856	-417.40	248
DATA	0000156	1712829154	314000000	0.0000	-417.40	229
DATA	0000157	1712829154	316000000	0.0000	-417.40	232
DATA	0000158	1712829154	318000000	1.6876	-417.40	  7
DATA	0000159	1712829154	320000000	7.3948	-417.40	  4
DATA	0000160	1712829154	322000000	11.896	-417.40	248
DATA	0000161	1712829154	324000000	13.665	-417.40	247
DATA	0000162	1712829154	326000000	8.3192	-417.40	252
DATA	0000163	1712829154	328000000	2.8933	-417.40	  1
DATA	0000164	1712829154	330000000	0.0000	-417.40	226
DATA	0000165	1712829154	332000000	0.0000	-417.40	229
DATA	0000166	1712829154	334000000	0.0000	-417.40	232
DATA	0000167	1712829154	336000000	5.7470	-417.40	  2
DATA	0000168	1712829154	338000000	10.248	-417.40	253
DATA	0000169	1712829154	340000000	13.826	-417.40	252
DATA	0000170	1712829154	342000000	10.329	-417.40	241
DATA	0000171	1712829154	344000000	4.3402	-417.40	242
DATA	0000172	1712829154	346000000	0.0000	-417.40	232
DATA	0000173	1712829154	348000000	0.0000	-417.40	235
DATA	0000174	1712829154	350000000	0.0000	-417.40	229
DATA	0000175	1712829154	352000000	3.7374	-417.40	  0
DATA	0000176	1712829154	354000000	8.8015	-417.40	  1
DATA	0000177	1712829154	356000000	13.223	-417.40	249
DATA	0000178	1712829154	358000000	12.459	-417.40	  6
DATA	0000179	1712829154	360000000	6.3096	-417.40	  3
DATA	0000180	1712829154	362000000	1.4464	-417.40	248
DATA	0000181	1712829154	364000000	0.0000	-417.40	232
DATA	0000182	1712829154	366000000	0.0000	-417.40	235
DATA	0000183	1712829154	368000000	1.4464	-417.40	  1
DATA	0000184	1712829154	370000000	7.1939	-417.40	  5
DATA	0000185	1712829154	372000000	11.776	-417.40	  1
DATA	0000186	1712829154	374000000	13.745	-417.40	  2
DATA	0000187	1712829154	376000000	8.4398	-417.40	 17
DATA	0000188	1712829154	378000000	2.9335	-417.40	 10
DATA	0000189	1712829154	380000000	0.0000	-417.40	238
DATA	0000190	1712829154	382000000	0.0000	-417.40	232
DATA	0000191	1712829154	384000000	0.0000	-417.40	235
DATA	0000192	1712829154	386000000	5.6666	-417.40	 11
DATA	0000193	1712829154	388000000	10.208	-417.40	252
DATA	0000194	1712829154	390000000	13.986	-417.40	  6
DATA	0000195	1712829154	392000000	10.811	-417.40	249
