
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240411 09:41:09	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712828469	002000000	3.5364	-417.40	240
DATA	0000001	1712828469	004000000	8.8417	-417.40	250
DATA	0000002	1712828469	006000000	13.182	-417.40	240
DATA	0000003	1712828469	008000000	14.549	-417.40	251
DATA	0000004	1712828469	010000000	9.3240	-417.40	240
DATA	0000005	1712828469	012000000	4.1393	-417.40	245
DATA	0000006	1712828469	014000000	0.0000	-417.40	228
DATA	0000007	1712828469	016000000	0.0000	-417.40	231
DATA	0000008	1712828469	018000000	0.92391	-417.40	 50
DATA	0000009	1712828469	020000000	7.1537	-417.40	251
DATA	0000010	1712828469	022000000	11.535	-417.40	237
DATA	0000011	1712828469	024000000	14.871	-417.40	246
DATA	0000012	1712828469	026000000	11.454	-417.40	243
DATA	0000013	1712828469	028000000	5.5862	-417.40	  1
DATA	0000014	1712828469	030000000	1.1651	-417.40	239
DATA	0000015	1712828469	032000000	0.0000	-417.40	228
DATA	0000016	1712828469	034000000	0.0000	-417.40	231
DATA	0000017	1712828469	036000000	5.3852	-417.40	  1
DATA	0000018	1712828469	038000000	10.047	-417.40	249
DATA	0000019	1712828469	040000000	14.268	-417.40	252
DATA	0000020	1712828469	042000000	13.263	-417.40	240
DATA	0000021	1712828469	044000000	7.3546	-417.40	253
DATA	0000022	1712828469	046000000	2.6924	-417.40	254
DATA	0000023	1712828469	048000000	0.0000	-417.40	234
DATA	0000024	1712828469	050000000	0.0000	-417.40	228
DATA	0000025	1712828469	052000000	3.2550	-417.40	246
DATA	0000026	1712828469	054000000	8.7613	-417.40	  3
DATA	0000027	1712828469	056000000	13.062	-417.40	249
DATA	0000028	1712828469	058000000	14.589	-417.40	 11
DATA	0000029	1712828469	060000000	9.3240	-417.40	252
DATA	0000030	1712828469	062000000	4.3000	-417.40	235
DATA	0000031	1712828469	064000000	0.0000	-417.40	231
DATA	0000032	1712828469	066000000	0.0000	-417.40	234
DATA	0000033	1712828469	068000000	0.72295	-417.40	 54
DATA	0000034	1712828469	070000000	7.0733	-417.40	251
DATA	0000035	1712828469	072000000	11.454	-417.40	249
DATA	0000036	1712828469	074000000	14.871	-417.40	  2
DATA	0000037	1712828469	076000000	11.575	-417.40	  3
DATA	0000038	1712828469	078000000	5.7871	-417.40	 15
DATA	0000039	1712828469	080000000	1.3660	-417.40	253
DATA	0000040	1712828469	082000000	0.0000	-417.40	231
DATA	0000041	1712828469	084000000	0.0000	-417.40	234
DATA	0000042	1712828469	086000000	5.1843	-417.40	  2
DATA	0000043	1712828469	088000000	9.9269	-417.40	 19
DATA	0000044	1712828469	090000000	14.227	-417.40	250
DATA	0000045	1712828469	092000000	13.625	-417.40	254
DATA	0000046	1712828469	094000000	7.7164	-417.40	  9
DATA	0000047	1712828469	096000000	3.0541	-417.40	  0
DATA	0000048	1712828469	098000000	0.0000	-417.40	246
DATA	0000049	1712828469	100000000	0.0000	-417.40	231
DATA	0000050	1712828469	102000000	2.8129	-417.40	247
DATA	0000051	1712828469	104000000	8.4398	-417.40	  4
DATA	0000052	1712828469	106000000	12.901	-417.40	244
DATA	0000053	1712828469	108000000	14.750	-417.40	251
DATA	0000054	1712828469	110000000	9.6054	-417.40	252
DATA	0000055	1712828469	112000000	4.3804	-417.40	250
DATA	0000056	1712828469	114000000	0.0000	-417.40	234
DATA	0000057	1712828469	116000000	0.0000	-417.40	237
DATA	0000058	1712828469	118000000	0.36123	-417.40	 47
DATA	0000059	1712828469	120000000	6.9125	-417.40	  1
DATA	0000060	1712828469	122000000	11.293	-417.40	244
DATA	0000061	1712828469	124000000	14.911	-417.40	247
DATA	0000062	1712828469	126000000	11.896	-417.40	  3
DATA	0000063	1712828469	128000000	5.9881	-417.40	 12
DATA	0000064	1712828469	130000000	1.6474	-417.40	253
DATA	0000065	1712828469	132000000	0.0000	-417.40	234
DATA	0000066	1712828469	134000000	0.0000	-417.40	237
DATA	0000067	1712828469	136000000	4.9431	-417.40	  5
DATA	0000068	1712828469	138000000	9.8465	-417.40	 19
