
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240410 16:41:30	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712767291	002000000	12.228	-417.40	229
DATA	0000001	1712767291	004000000	5.9580	-417.40	244
DATA	0000002	1712767291	006000000	1.1751	-417.40	235
DATA	0000003	1712767291	008000000	0.0000	-417.40	223
DATA	0000004	1712767291	010000000	0.0000	-417.40	217
DATA	0000005	1712767291	012000000	2.8230	-417.40	235
DATA	0000006	1712767291	014000000	8.3695	-417.40	254
DATA	0000007	1712767291	016000000	12.871	-417.40	245
DATA	0000008	1712767291	018000000	13.876	-417.40	254
DATA	0000009	1712767291	020000000	7.9676	-417.40	  2
DATA	0000010	1712767291	022000000	2.7024	-417.40	232
DATA	0000011	1712767291	024000000	0.0000	-417.40	220
DATA	0000012	1712767291	026000000	0.0000	-417.40	223
DATA	0000013	1712767291	028000000	0.21051	-417.40	 27
DATA	0000014	1712767291	030000000	6.7216	-417.40	242
DATA	0000015	1712767291	032000000	11.344	-417.40	236
DATA	0000016	1712767291	034000000	14.438	-417.40	246
DATA	0000017	1712767291	036000000	10.218	-417.40	241
DATA	0000018	1712767291	038000000	4.3101	-417.40	241
DATA	0000019	1712767291	040000000	0.0000	-417.40	226
DATA	0000020	1712767291	042000000	0.0000	-417.40	220
DATA	0000021	1712767291	044000000	0.0000	-417.40	223
DATA	0000022	1712767291	046000000	4.8728	-417.40	255
DATA	0000023	1712767291	048000000	9.8164	-417.40	  1
DATA	0000024	1712767291	050000000	13.996	-417.40	251
DATA	0000025	1712767291	052000000	12.549	-417.40	247
DATA	0000026	1712767291	054000000	6.1589	-417.40	  2
DATA	0000027	1712767291	056000000	1.0947	-417.40	253
DATA	0000028	1712767291	058000000	0.0000	-417.40	235
DATA	0000029	1712767291	060000000	0.0000	-417.40	229
DATA	0000030	1712767291	062000000	2.7024	-417.40	238
DATA	0000031	1712767291	064000000	8.3695	-417.40	  1
DATA	0000032	1712767291	066000000	12.871	-417.40	248
DATA	0000033	1712767291	068000000	13.956	-417.40	  0
DATA	0000034	1712767291	070000000	8.2087	-417.40	251
DATA	0000035	1712767291	072000000	2.8632	-417.40	250
DATA	0000036	1712767291	074000000	0.0000	-417.40	232
DATA	0000037	1712767291	076000000	0.0000	-417.40	235
DATA	0000038	1712767291	078000000	0.049740	-417.40	102
DATA	0000039	1712767291	080000000	6.8020	-417.40	248
DATA	0000040	1712767291	082000000	11.384	-417.40	243
DATA	0000041	1712767291	084000000	14.358	-417.40	250
DATA	0000042	1712767291	086000000	10.379	-417.40	252
DATA	0000043	1712767291	088000000	4.2699	-417.40	  9
DATA	0000044	1712767291	090000000	0.0000	-417.40	229
DATA	0000045	1712767291	092000000	0.0000	-417.40	232
DATA	0000046	1712767291	094000000	0.0000	-417.40	235
DATA	0000047	1712767291	096000000	4.9130	-417.40	255
DATA	0000048	1712767291	098000000	9.8968	-417.40	 25
