
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240410 16:37:44	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712767064	002000000	2.8632	-417.40	233
DATA	0000001	1712767064	004000000	0.0000	-417.40	215
DATA	0000002	1712767064	006000000	0.0000	-417.40	218
DATA	0000003	1712767064	008000000	0.25070	-417.40	 27
DATA	0000004	1712767064	010000000	6.9628	-417.40	246
DATA	0000005	1712767064	012000000	11.344	-417.40	231
DATA	0000006	1712767064	014000000	14.358	-417.40	242
DATA	0000007	1712767064	016000000	10.620	-417.40	233
DATA	0000008	1712767064	018000000	4.4709	-417.40	251
DATA	0000009	1712767064	020000000	0.0000	-417.40	221
DATA	0000010	1712767064	022000000	0.0000	-417.40	215
DATA	0000011	1712767064	024000000	0.0000	-417.40	218
DATA	0000012	1712767064	026000000	4.9532	-417.40	244
DATA	0000013	1712767064	028000000	9.9772	-417.40	  2
DATA	0000014	1712767064	030000000	13.916	-417.40	238
DATA	0000015	1712767064	032000000	12.670	-417.40	237
DATA	0000016	1712767064	034000000	6.4001	-417.40	235
DATA	0000017	1712767064	036000000	1.3359	-417.40	248
DATA	0000018	1712767064	038000000	0.0000	-417.40	230
DATA	0000019	1712767064	040000000	0.0000	-417.40	224
DATA	0000020	1712767064	042000000	2.5015	-417.40	231
DATA	0000021	1712767064	044000000	8.5303	-417.40	240
DATA	0000022	1712767064	046000000	12.831	-417.40	239
DATA	0000023	1712767064	048000000	14.037	-417.40	242
DATA	0000024	1712767064	050000000	8.4499	-417.40	255
DATA	0000025	1712767064	052000000	3.1043	-417.40	235
DATA	0000026	1712767064	054000000	0.0000	-417.40	227
DATA	0000027	1712767064	056000000	0.0000	-417.40	230
DATA	0000028	1712767064	058000000	0.0000	-417.40	233
DATA	0000029	1712767064	060000000	6.8020	-417.40	243
DATA	0000030	1712767064	062000000	11.344	-417.40	234
DATA	0000031	1712767064	064000000	14.398	-417.40	249
DATA	0000032	1712767064	066000000	10.741	-417.40	240
DATA	0000033	1712767064	068000000	4.5914	-417.40	253
DATA	0000034	1712767064	070000000	0.0000	-417.40	224
DATA	0000035	1712767064	072000000	0.0000	-417.40	227
DATA	0000036	1712767064	074000000	0.0000	-417.40	230
DATA	0000037	1712767064	076000000	4.7120	-417.40	247
DATA	0000038	1712767064	078000000	9.8164	-417.40	  8
DATA	0000039	1712767064	080000000	13.836	-417.40	251
DATA	0000040	1712767064	082000000	12.911	-417.40	238
DATA	0000041	1712767064	084000000	6.6010	-417.40	240
DATA	0000042	1712767064	086000000	1.5368	-417.40	253
DATA	0000043	1712767064	088000000	0.0000	-417.40	233
DATA	0000044	1712767064	090000000	0.0000	-417.40	227
DATA	0000045	1712767064	092000000	2.3005	-417.40	240
DATA	0000046	1712767064	094000000	8.3293	-417.40	  2
DATA	0000047	1712767064	096000000	12.509	-417.40	253
DATA	0000048	1712767064	098000000	13.996	-417.40	 11
DATA	0000049	1712767064	100000000	8.6910	-417.40	248
DATA	0000050	1712767064	102000000	3.1445	-417.40	235
DATA	0000051	1712767064	104000000	0.0000	-417.40	221
DATA	0000052	1712767064	106000000	0.0000	-417.40	224
DATA	0000053	1712767064	108000000	0.0000	-417.40	227
DATA	0000054	1712767064	110000000	6.6412	-417.40	240
DATA	0000055	1712767064	112000000	11.022	-417.40	230
DATA	0000056	1712767064	114000000	14.318	-417.40	244
DATA	0000057	1712767064	116000000	11.062	-417.40	240
DATA	0000058	1712767064	118000000	4.8728	-417.40	  6
DATA	0000059	1712767064	120000000	0.13012	-417.40	 26
DATA	0000060	1712767064	122000000	0.0000	-417.40	221
DATA	0000061	1712767064	124000000	0.0000	-417.40	224
DATA	0000062	1712767064	126000000	4.4709	-417.40	251
DATA	0000063	1712767064	128000000	9.6154	-417.40	255
DATA	0000064	1712767064	130000000	13.675	-417.40	246
DATA	0000065	1712767064	132000000	13.032	-417.40	236
DATA	0000066	1712767064	134000000	6.9628	-417.40	  5
DATA	0000067	1712767064	136000000	1.7780	-417.40	  0
DATA	0000068	1712767064	138000000	0.0000	-417.40	236
DATA	0000069	1712767064	140000000	0.0000	-417.40	230
DATA	0000070	1712767064	142000000	1.8584	-417.40	250
DATA	0000071	1712767064	144000000	8.0480	-417.40	247
DATA	0000072	1712767064	146000000	12.389	-417.40	253
DATA	0000073	1712767064	148000000	14.278	-417.40	255
DATA	0000074	1712767064	150000000	9.0126	-417.40	245
DATA	0000075	1712767064	152000000	3.3455	-417.40	250
DATA	0000076	1712767064	154000000	0.0000	-417.40	233
DATA	0000077	1712767064	156000000	0.0000	-417.40	236
