
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240410 16:47:12	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712767632	002000000	1.6976	-417.40	242
DATA	0000001	1712767632	004000000	0.0000	-417.40	216
DATA	0000002	1712767632	006000000	6.3599	-417.40	251
DATA	0000003	1712767632	008000000	12.750	-417.40	237
DATA	0000004	1712767632	010000000	17.413	-417.40	232
DATA	0000005	1712767632	012000000	19.704	-417.40	240
DATA	0000006	1712767632	014000000	14.639	-417.40	245
DATA	0000007	1712767632	016000000	8.5303	-417.40	244
DATA	0000008	1712767632	018000000	3.4661	-417.40	248
DATA	0000009	1712767632	020000000	0.0000	-417.40	222
DATA	0000010	1712767632	022000000	3.6268	-417.40	241
DATA	0000011	1712767632	024000000	11.022	-417.40	225
DATA	0000012	1712767632	026000000	15.845	-417.40	245
DATA	0000013	1712767632	028000000	19.623	-417.40	246
DATA	0000014	1712767632	030000000	16.810	-417.40	235
DATA	0000015	1712767632	032000000	10.379	-417.40	242
DATA	0000016	1712767632	034000000	5.4355	-417.40	247
DATA	0000017	1712767632	036000000	0.0095476	-417.40	147
DATA	0000018	1712767632	038000000	1.2957	-417.40	255
DATA	0000019	1712767632	040000000	8.8116	-417.40	249
DATA	0000020	1712767632	042000000	14.278	-417.40	241
DATA	0000021	1712767632	044000000	18.739	-417.40	250
DATA	0000022	1712767632	046000000	18.618	-417.40	249
DATA	0000023	1712767632	048000000	12.429	-417.40	246
DATA	0000024	1712767632	050000000	7.0833	-417.40	243
DATA	0000025	1712767632	052000000	1.6172	-417.40	242
DATA	0000026	1712767632	054000000	0.0000	-417.40	228
DATA	0000027	1712767632	056000000	6.1187	-417.40	254
DATA	0000028	1712767632	058000000	12.710	-417.40	245
DATA	0000029	1712767632	060000000	17.292	-417.40	249
DATA	0000030	1712767632	062000000	19.744	-417.40	247
DATA	0000031	1712767632	064000000	14.760	-417.40	243
DATA	0000032	1712767632	066000000	8.7714	-417.40	255
DATA	0000033	1712767632	068000000	3.7072	-417.40	250
DATA	0000034	1712767632	070000000	0.0000	-417.40	225
DATA	0000035	1712767632	072000000	3.5063	-417.40	245
DATA	0000036	1712767632	074000000	10.861	-417.40	247
DATA	0000037	1712767632	076000000	15.684	-417.40	  2
DATA	0000038	1712767632	078000000	19.463	-417.40	  4
DATA	0000039	1712767632	080000000	16.971	-417.40	255
DATA	0000040	1712767632	082000000	10.500	-417.40	231
DATA	0000041	1712767632	084000000	5.5159	-417.40	253
DATA	0000042	1712767632	086000000	0.089932	-417.40	102
DATA	0000043	1712767632	088000000	1.2153	-417.40	246
DATA	0000044	1712767632	090000000	8.6910	-417.40	252
DATA	0000045	1712767632	092000000	14.278	-417.40	253
DATA	0000046	1712767632	094000000	18.618	-417.40	  2
DATA	0000047	1712767632	096000000	18.860	-417.40	  4
DATA	0000048	1712767632	098000000	12.549	-417.40	  5
DATA	0000049	1712767632	100000000	7.2039	-417.40	246
