
Model:	LI-1500 Light Sensor Logger	
Config:	500HZ	
Session Remark:	 	
Software Version:	0.0.32	
Timestamp:	20240411 14:28:37	
DATAH	Record	Seconds	Nanoseconds	Input1	MULT_1	CHK	
DATA	0000000	1712845717	002000000	0.0000	-417.40	214
DATA	0000001	1712845717	004000000	6.3338	-417.40	240
DATA	0000002	1712845717	006000000	11.921	-417.40	234
DATA	0000003	1712845717	008000000	16.342	-417.40	239
DATA	0000004	1712845717	010000000	17.708	-417.40	240
DATA	0000005	1712845717	012000000	12.242	-417.40	231
DATA	0000006	1712845717	014000000	6.8563	-417.40	251
DATA	0000007	1712845717	016000000	1.8725	-417.40	249
DATA	0000008	1712845717	018000000	0.0000	-417.40	229
DATA	0000009	1712845717	020000000	3.8419	-417.40	248
DATA	0000010	1712845717	022000000	10.474	-417.40	233
DATA	0000011	1712845717	024000000	14.855	-417.40	243
DATA	0000012	1712845717	026000000	18.030	-417.40	235
DATA	0000013	1712845717	028000000	14.292	-417.40	244
DATA	0000014	1712845717	030000000	8.4640	-417.40	242
DATA	0000015	1712845717	032000000	3.8017	-417.40	242
DATA	0000016	1712845717	034000000	0.0000	-417.40	226
DATA	0000017	1712845717	036000000	1.4705	-417.40	246
DATA	0000018	1712845717	038000000	8.5444	-417.40	  1
DATA	0000019	1712845717	040000000	13.448	-417.40	246
DATA	0000020	1712845717	042000000	17.588	-417.40	249
DATA	0000021	1712845717	044000000	16.462	-417.40	242
DATA	0000022	1712845717	046000000	10.232	-417.40	234
DATA	0000023	1712845717	048000000	5.4094	-417.40	251
DATA	0000024	1712845717	050000000	0.18438	-417.40	 39
DATA	0000025	1712845717	052000000	0.0000	-417.40	226
DATA	0000026	1712845717	054000000	6.2132	-417.40	243
DATA	0000027	1712845717	056000000	11.880	-417.40	250
DATA	0000028	1712845717	058000000	16.342	-417.40	251
DATA	0000029	1712845717	060000000	17.829	-417.40	  0
DATA	0000030	1712845717	062000000	12.242	-417.40	234
DATA	0000031	1712845717	064000000	6.8161	-417.40	248
DATA	0000032	1712845717	066000000	1.9126	-417.40	248
DATA	0000033	1712845717	068000000	0.0000	-417.40	232
DATA	0000034	1712845717	070000000	3.7213	-417.40	242
DATA	0000035	1712845717	072000000	10.353	-417.40	241
DATA	0000036	1712845717	074000000	14.814	-417.40	250
DATA	0000037	1712845717	076000000	18.150	-417.40	250
DATA	0000038	1712845717	078000000	14.613	-417.40	253
DATA	0000039	1712845717	080000000	8.4640	-417.40	254
DATA	0000040	1712845717	082000000	3.7615	-417.40	248
DATA	0000041	1712845717	084000000	0.0000	-417.40	229
DATA	0000042	1712845717	086000000	1.3098	-417.40	253
DATA	0000043	1712845717	088000000	8.4640	-417.40	  1
DATA	0000044	1712845717	090000000	13.528	-417.40	248
DATA	0000045	1712845717	092000000	17.708	-417.40	255
DATA	0000046	1712845717	094000000	16.583	-417.40	  2
DATA	0000047	1712845717	096000000	10.273	-417.40	251
DATA	0000048	1712845717	098000000	5.4094	-417.40	  7
DATA	0000049	1712845717	100000000	0.22457	-417.40	 38
DATA	0000050	1712845717	102000000	0.0000	-417.40	220
DATA	0000051	1712845717	104000000	6.2534	-417.40	243
DATA	0000052	1712845717	106000000	12.081	-417.40	238
DATA	0000053	1712845717	108000000	16.382	-417.40	249
DATA	0000054	1712845717	110000000	17.909	-417.40	249
DATA	0000055	1712845717	112000000	12.403	-417.40	236
DATA	0000056	1712845717	114000000	6.9367	-417.40	  4
DATA	0000057	1712845717	116000000	1.9126	-417.40	251
DATA	0000058	1712845717	118000000	0.0000	-417.40	235
DATA	0000059	1712845717	120000000	3.6811	-417.40	248
DATA	0000060	1712845717	122000000	10.353	-417.40	235
DATA	0000061	1712845717	124000000	14.855	-417.40	249
DATA	0000062	1712845717	126000000	18.150	-417.40	244
DATA	0000063	1712845717	128000000	14.493	-417.40	253
DATA	0000064	1712845717	130000000	8.4640	-417.40	248
DATA	0000065	1712845717	132000000	3.7615	-417.40	251
DATA	0000066	1712845717	134000000	0.0000	-417.40	232
DATA	0000067	1712845717	136000000	1.1490	-417.40	250
DATA	0000068	1712845717	138000000	8.3434	-417.40	  4
DATA	0000069	1712845717	140000000	13.327	-417.40	248
DATA	0000070	1712845717	142000000	17.427	-417.40	247
DATA	0000071	1712845717	144000000	16.543	-417.40	248
DATA	0000072	1712845717	146000000	10.393	-417.40	248
DATA	0000073	1712845717	148000000	5.5300	-417.40	248
DATA	0000074	1712845717	150000000	0.14419	-417.40	 40
DATA	0000075	1712845717	152000000	0.0000	-417.40	232
DATA	0000076	1712845717	154000000	6.0123	-417.40	247
DATA	0000077	1712845717	156000000	11.961	-417.40	  0
DATA	0000078	1712845717	158000000	16.261	-417.40	  1
DATA	0000079	1712845717	160000000	17.829	-417.40	  6
DATA	0000080	1712845717	162000000	12.443	-417.40	243
DATA	0000081	1712845717	164000000	7.0975	-417.40	  4
DATA	0000082	1712845717	166000000	2.1136	-417.40	248
DATA	0000083	1712845717	168000000	0.0000	-417.40	238
DATA	0000084	1712845717	170000000	3.4802	-417.40	249
DATA	0000085	1712845717	172000000	10.232	-417.40	243
DATA	0000086	1712845717	174000000	14.774	-417.40	  5
DATA	0000087	1712845717	176000000	18.110	-417.40	252
DATA	0000088	1712845717	178000000	14.694	-417.40	 12
DATA	0000089	1712845717	180000000	8.6650	-417.40	  7
DATA	0000090	1712845717	182000000	3.8419	-417.40	  1
DATA	0000091	1712845717	184000000	0.0000	-417.40	235
DATA	0000092	1712845717	186000000	1.0284	-417.40	253
DATA	0000093	1712845717	188000000	8.2630	-417.40	  4
DATA	0000094	1712845717	190000000	13.367	-417.40	255
DATA	0000095	1712845717	192000000	17.547	-417.40	  6
DATA	0000096	1712845717	194000000	16.703	-417.40	  2
DATA	0000097	1712845717	196000000	10.554	-417.40	  3
DATA	0000098	1712845717	198000000	5.7711	-417.40	 12
DATA	0000099	1712845717	200000000	0.34515	-417.40	 42
DATA	0000100	1712845717	202000000	0.0000	-417.40	217
DATA	0000101	1712845717	204000000	5.9319	-417.40	247
DATA	0000102	1712845717	206000000	11.800	-417.40	233
DATA	0000103	1712845717	208000000	16.221	-417.40	238
DATA	0000104	1712845717	210000000	17.909	-417.40	246
DATA	0000105	1712845717	212000000	12.564	-417.40	241
DATA	0000106	1712845717	214000000	7.1377	-417.40	251
DATA	0000107	1712845717	216000000	2.1940	-417.40	245
DATA	0000108	1712845717	218000000	0.0000	-417.40	232
DATA	0000109	1712845717	220000000	3.3998	-417.40	  2
DATA	0000110	1712845717	222000000	10.152	-417.40	229
DATA	0000111	1712845717	224000000	14.774	-417.40	246
DATA	0000112	1712845717	226000000	18.231	-417.40	241
DATA	0000113	1712845717	228000000	14.855	-417.40	252
DATA	0000114	1712845717	230000000	8.5846	-417.40	254
DATA	0000115	1712845717	232000000	3.9223	-417.40	245
DATA	0000116	1712845717	234000000	0.0000	-417.40	229
DATA	0000117	1712845717	236000000	1.0284	-417.40	247
DATA	0000118	1712845717	238000000	8.1827	-417.40	  5
DATA	0000119	1712845717	240000000	13.247	-417.40	246
DATA	0000120	1712845717	242000000	17.467	-417.40	248
DATA	0000121	1712845717	244000000	16.864	-417.40	251
DATA	0000122	1712845717	246000000	10.675	-417.40	248
DATA	0000123	1712845717	248000000	5.7309	-417.40	  0
DATA	0000124	1712845717	250000000	0.46572	-417.40	 42
DATA	0000125	1712845717	252000000	0.0000	-417.40	229
DATA	0000126	1712845717	254000000	5.7309	-417.40	  0
DATA	0000127	1712845717	256000000	11.720	-417.40	246
DATA	0000128	1712845717	258000000	16.221	-417.40	250
DATA	0000129	1712845717	260000000	17.990	-417.40	  2
DATA	0000130	1712845717	262000000	12.564	-417.40	244
DATA	0000131	1712845717	264000000	7.1377	-417.40	254
DATA	0000132	1712845717	266000000	2.2744	-417.40	251
DATA	0000133	1712845717	268000000	0.0000	-417.40	235
DATA	0000134	1712845717	270000000	3.2390	-417.40	246
DATA	0000135	1712845717	272000000	10.072	-417.40	242
DATA	0000136	1712845717	274000000	14.734	-417.40	254
DATA	0000137	1712845717	276000000	18.271	-417.40	  1
DATA	0000138	1712845717	278000000	14.935	-417.40	  7
DATA	0000139	1712845717	280000000	8.7855	-417.40	 12
DATA	0000140	1712845717	282000000	4.1232	-417.40	241
DATA	0000141	1712845717	284000000	0.0000	-417.40	232
DATA	0000142	1712845717	286000000	0.94803	-417.40	 51
DATA	0000143	1712845717	288000000	8.1425	-417.40	  2
DATA	0000144	1712845717	290000000	13.367	-417.40	252
DATA	0000145	1712845717	292000000	17.507	-417.40	255
DATA	0000146	1712845717	294000000	16.784	-417.40	  8
DATA	0000147	1712845717	296000000	10.594	-417.40	  4
DATA	0000148	1712845717	298000000	5.6505	-417.40	  9
DATA	0000149	1712845717	300000000	0.50592	-417.40	 42
DATA	0000150	1712845717	302000000	0.0000	-417.40	223
DATA	0000151	1712845717	304000000	5.7309	-417.40	250
DATA	0000152	1712845717	306000000	11.800	-417.40	239
DATA	0000153	1712845717	308000000	16.141	-417.40	245
DATA	0000154	1712845717	310000000	17.990	-417.40	252
DATA	0000155	1712845717	312000000	12.805	-417.40	245
DATA	0000156	1712845717	314000000	7.2180	-417.40	250
DATA	0000157	1712845717	316000000	2.1940	-417.40	251
DATA	0000158	1712845717	318000000	0.0000	-417.40	238
DATA	0000159	1712845717	320000000	3.2390	-417.40	249
DATA	0000160	1712845717	322000000	10.032	-417.40	232
DATA	0000161	1712845717	324000000	14.533	-417.40	245
DATA	0000162	1712845717	326000000	18.070	-417.40	248
DATA	0000163	1712845717	328000000	14.975	-417.40	  5
DATA	0000164	1712845717	330000000	8.8257	-417.40	  3
DATA	0000165	1712845717	332000000	4.0428	-417.40	250
DATA	0000166	1712845717	334000000	0.0000	-417.40	235
DATA	0000167	1712845717	336000000	0.82746	-417.40	 57
DATA	0000168	1712845717	338000000	7.9817	-417.40	 17
DATA	0000169	1712845717	340000000	13.167	-417.40	253
DATA	0000170	1712845717	342000000	17.467	-417.40	254
DATA	0000171	1712845717	344000000	16.904	-417.40	252
